candidate_id,rank,score,reasoning
CAND_0018499,1,0.032018,"Senior Machine Learning Engineer with 7.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4]"
CAND_0027691,2,0.030679,"NLP Engineer with 6.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=10]"
CAND_0068811,3,0.02315,"Applied ML Engineer with 8.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=88]"
CAND_0066999,4,0.022722,"Recommendation Systems Engineer with 5.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=86, tab_rank=3]"
CAND_0052328,5,0.021155,"Recommendation Systems Engineer with 6.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=150, tab_rank=1]"
CAND_0064326,6,0.020509,"Search Engineer with 7.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=183]"
CAND_0041669,7,0.019854,"Recommendation Systems Engineer with 8.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=229]"
CAND_0039383,8,0.019609,"Applied ML Engineer with 7.1 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=251]"
CAND_0046525,9,0.019309,"Senior Machine Learning Engineer with 6.1 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=283]"
CAND_0007009,10,0.019255,"Recommendation Systems Engineer with 7.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=150, tab_rank=9]"
CAND_0005649,11,0.019226,"Senior Data Scientist with 7.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=293]"
CAND_0011687,12,0.019039,"Senior NLP Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=318]"
CAND_0052682,13,0.018964,"NLP Engineer with 6.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=329]"
CAND_0079387,14,0.018621,"AI Engineer with 6.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=389]"
CAND_0046064,15,0.018577,"Senior NLP Engineer with 8.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=398]"
CAND_0093912,16,0.018512,"Senior Data Scientist with 5.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=412]"
CAND_0042029,17,0.01849,"Senior Data Scientist with 6.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=417]"
CAND_0050454,18,0.018406,"AI Engineer with 6.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=41]"
CAND_0062247,19,0.018212,"AI Engineer with 7.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=490]"
CAND_0013440,20,0.017972,"Senior Data Engineer with 7.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=174, tab_rank=13]"
CAND_0086022,21,0.01793,"Senior Applied Scientist with 5.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=591]"
CAND_0053695,22,0.017927,"Recommendation Systems Engineer with 5.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=592]"
